time size collisions
105 100000 0
189 200000 0
255 300000 0
334 400000 0
401 500000 0
469 600000 0
562 700000 0
628 800000 0
694 900000 0
762 1000000 0
829 1100000 0
896 1200000 0
963 1300000 0
1084 1400000 0
1152 1500000 0
1220 1600000 0
1288 1700000 0
1355 1800000 0
1424 1900000 0
1492 2000000 0
1559 2100000 0
1627 2200000 0
1695 2300000 0
1763 2400000 0
1831 2500000 0
1898 2600000 0
1966 2700000 0
2144 2800000 0
2210 2900000 0
2276 3000000 0
2344 3100000 0
2411 3200000 0
2478 3300000 0
2545 3400000 0
2613 3500000 0
2681 3600000 0
2749 3700000 0
2817 3800000 0
2884 3900000 0
2952 4000000 0
3021 4100000 0
3089 4200000 0
3156 4300000 0
3225 4400000 0
3293 4500000 0
3361 4600000 0
3429 4700000 0
3497 4800000 0
3565 4900000 0
3634 5000000 0
3702 5100000 0
3771 5200000 0
3839 5300000 0
3907 5400000 0
3974 5500000 0
4267 5600000 0
4334 5700000 0
4400 5800000 0
4466 5900000 0
4534 6000000 0
4600 6100000 0
4667 6200000 0
4735 6300000 0
4802 6400000 0
4871 6500000 0
4939 6600000 0
5007 6700000 0
5073 6800000 0
5141 6900000 0
5209 7000000 0
5276 7100000 0
5343 7200000 0
5411 7300000 0
5479 7400000 0
5547 7500000 0
5615 7600000 0
5683 7700000 0
5751 7800000 0
5819 7900000 0
5888 8000000 0
5956 8100000 0
6025 8200000 0
6093 8300000 0
6162 8400000 0
6230 8500000 0
6298 8600000 0
6366 8700000 0
6435 8800000 0
6504 8900000 0
6573 9000000 0
6641 9100000 0
6709 9200000 0
6777 9300000 0
6846 9400000 0
6913 9500000 0
6981 9600000 0
7049 9700000 0
7118 9800000 0
7186 9900000 0
7253 10000000 0
7321 10100000 0
7390 10200000 0
7458 10300000 0
7527 10400000 0
7596 10500000 0
7664 10600000 0
7732 10700000 0
7801 10800000 0
7869 10900000 0
7937 11000000 0
8005 11100000 0
8555 11200000 0
8622 11300000 0
8689 11400000 0
8756 11500000 0
8822 11600000 0
8889 11700000 0
8956 11800000 0
9023 11900000 0
9090 12000000 0
9156 12100000 0
9223 12200000 0
9291 12300000 0
9359 12400000 0
9426 12500000 0
9494 12600000 0
9561 12700000 0
9628 12800000 0
9695 12900000 0
9762 13000000 0
9830 13100000 0
9898 13200000 0
9966 13300000 0
10034 13400000 0
10101 13500000 0
10169 13600000 0
10238 13700000 0
10306 13800000 0
10373 13900000 0
10441 14000000 0
10509 14100000 0
10578 14200000 0
10645 14300000 0
10713 14400000 0
10780 14500000 0
10848 14600000 0
10917 14700000 0
10985 14800000 0
11052 14900000 0
11120 15000000 0
11189 15100000 0
11258 15200000 0
11326 15300000 0
11394 15400000 0
11463 15500000 0
11531 15600000 0
11599 15700000 0
11667 15800000 0
11735 15900000 0
11803 16000000 0
11872 16100000 0
11940 16200000 0
12008 16300000 0
12075 16400000 0
12144 16500000 0
12213 16600000 0
12280 16700000 0
12348 16800000 0
12416 16900000 0
12485 17000000 0
12554 17100000 0
12622 17200000 0
12691 17300000 0
12760 17400000 0
12829 17500000 0
12898 17600000 0
12966 17700000 0
13036 17800000 0
13106 17900000 0
13175 18000000 0
13243 18100000 0
13311 18200000 0
13379 18300000 0
13448 18400000 0
13517 18500000 0
13588 18600000 0
13659 18700000 0
13731 18800000 0
13805 18900000 0
13877 19000000 0
13949 19100000 0
14021 19200000 0
14094 19300000 0
14166 19400000 0
14235 19500000 0
14304 19600000 0
14373 19700000 0
14441 19800000 0
14512 19900000 0
14582 20000000 0
14650 20100000 0
14720 20200000 0
14789 20300000 0
14859 20400000 0
14932 20500000 0
15004 20600000 0
15075 20700000 0
15146 20800000 0
15217 20900000 0
15291 21000000 0
15362 21100000 0
15434 21200000 0
15506 21300000 0
15578 21400000 0
15650 21500000 0
15725 21600000 0
15798 21700000 0
15870 21800000 0
15943 21900000 0
16017 22000000 0
16089 22100000 0
16159 22200000 0
16230 22300000 0
